,Unnamed: 0,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Rating
19,,20,Khris Middleton,MIL,10,35.5,7.1,18.0,0.39399999999999996,2.3,6.5,0.354,3.8,4.6,0.826,3.4,4.1,0.5,6.4,6.9,6.0,1.1,0.2,20.3,86
20,,21,Caris LeVert,BRK,4,34.9,6.8,18.2,0.37,2.2,5.2,0.429,4.5,6.2,0.72,3.2,1.8,2.0,3.8,5.8,9.5,1.2,0.2,20.2,83
21,,22,Paul George,LAC,13,36.8,6.8,17.0,0.39799999999999996,2.8,8.5,0.33299999999999996,3.8,4.2,0.909,3.1,3.8,1.1,5.0,6.1,3.8,1.5,0.5,20.2,90
23,,24,Mike Conley,UTA,5,33.0,6.2,12.8,0.484,3.6,6.8,0.529,3.8,4.4,0.8640000000000001,1.0,2.0,0.6,2.2,2.8,5.2,1.6,0.2,19.8,79
24,,25,Kemba Walker,BOS,17,36.9,6.6,15.1,0.441,2.3,7.4,0.31,4.1,4.8,0.852,1.9,2.5,0.4,3.7,4.1,5.1,0.9,0.4,19.6,86
25,,26,Fred VanVleet,TOR,11,39.1,6.9,17.3,0.4,3.9,10.0,0.391,1.9,2.3,0.84,2.0,2.5,0.5,3.9,4.4,6.9,1.6,0.6,19.6,85
26,,27,Goran Dragic,MIA,17,32.5,7.0,15.8,0.444,2.2,6.3,0.34600000000000003,2.9,3.6,0.8029999999999999,2.3,2.9,0.8,3.3,4.1,4.4,1.0,0.1,19.1,79
27,,28,Russell Westbrook,HOU,8,32.7,7.4,17.5,0.42100000000000004,1.0,4.1,0.242,2.1,4.0,0.531,3.8,2.9,1.4,5.6,7.0,4.6,1.5,0.2,17.9,88
29,,30,Bam Adebayo,MIA,19,36.2,6.5,11.6,0.564,0.0,0.1,0.0,4.7,6.1,0.7829999999999999,2.5,3.1,2.5,7.8,10.3,4.4,1.0,0.8,17.8,86
30,,31,Victor Oladipo,IND,4,30.6,5.5,14.0,0.39299999999999996,3.0,8.2,0.364,3.8,4.0,0.938,3.5,3.5,0.0,3.2,3.2,2.5,2.2,0.0,17.8,82
31,,32,Kyle Lowry,TOR,11,37.6,5.6,13.5,0.419,2.1,6.5,0.319,4.4,5.5,0.8,2.5,3.6,0.7,5.8,6.5,5.8,1.7,0.7,17.7,87
32,,33,Eric Gordon,HOU,12,34.1,6.0,14.7,0.409,2.4,7.5,0.322,2.9,3.3,0.875,2.0,2.2,0.5,2.2,2.7,3.0,0.8,0.6,17.3,78
34,,35,Pascal Siakam,TOR,11,38.0,6.5,16.5,0.396,0.9,4.8,0.18899999999999997,3.0,4.2,0.7170000000000001,2.0,3.0,1.3,6.3,7.5,3.8,1.1,0.4,17.0,88
35,,36,Rudy Gobert,UTA,7,38.6,6.9,10.6,0.649,0.0,0.0,0.0,3.1,6.0,0.524,1.3,3.7,3.4,8.0,11.4,1.1,0.6,1.4,16.9,87
36,,37,Josh Richardson,PHI,4,36.1,5.0,14.0,0.35700000000000004,2.5,7.0,0.35700000000000004,4.2,4.5,0.9440000000000001,2.0,3.0,1.0,2.8,3.8,3.2,0.5,0.5,16.8,80
37,,38,Jordan Clarkson,UTA,7,28.6,6.4,13.9,0.46399999999999997,2.4,7.0,0.34700000000000003,1.4,1.4,1.0,1.0,2.1,0.3,3.1,3.4,2.1,0.9,0.0,16.7,78
38,,39,Terrence Ross,ORL,5,27.0,6.0,12.8,0.469,2.0,6.0,0.33299999999999996,2.4,2.8,0.857,1.6,2.8,0.2,4.2,4.4,1.0,0.8,0.2,16.4,78
39,,40,Shai Gilgeous-Alexander,OKC,7,39.9,5.6,12.9,0.433,2.0,5.0,0.4,3.1,3.3,0.9570000000000001,2.1,2.4,0.4,4.9,5.3,4.1,1.0,0.4,16.3,84
41,,42,Tyler Herro,MIA,21,33.6,5.7,13.2,0.433,2.3,6.1,0.375,2.2,2.6,0.87,2.0,1.5,0.3,4.8,5.1,3.7,0.4,0.1,16.0,78
42,,43,Brook Lopez,MIL,10,32.8,6.1,11.4,0.535,2.1,5.3,0.396,1.5,2.0,0.75,1.2,2.7,1.9,3.6,5.5,0.5,1.0,1.3,15.8,82
43,,44,Myles Turner,IND,4,36.4,6.2,11.0,0.568,1.5,3.5,0.429,1.8,4.0,0.43799999999999994,2.2,3.2,2.8,8.0,10.8,0.8,0.5,4.0,15.8,79
44,,45,Tobias Harris,PHI,4,37.1,5.8,15.0,0.38299999999999995,0.5,3.8,0.133,3.8,4.8,0.789,1.2,2.8,3.5,6.0,9.5,4.0,0.5,0.2,15.8,84
45,,46,Carmelo Anthony,POR,5,35.1,5.6,13.6,0.41200000000000003,1.6,3.8,0.42100000000000004,2.4,2.8,0.857,2.6,4.0,0.2,4.8,5.0,2.0,1.0,0.4,15.2,78
46,,47,Danilo Gallinari,OKC,7,30.3,4.6,11.3,0.405,1.7,5.3,0.324,4.1,4.3,0.9670000000000001,2.1,1.6,0.7,4.7,5.4,1.0,0.7,0.1,15.0,83
47,,48,Serge Ibaka,TOR,11,22.9,5.7,10.0,0.573,2.1,4.1,0.511,1.3,1.3,1.0,1.1,2.5,1.5,6.2,7.7,1.2,0.2,1.3,14.8,80
48,,49,Shake Milton,PHI,4,31.5,5.2,11.0,0.47700000000000004,2.5,6.2,0.4,1.5,1.8,0.857,1.5,3.2,0.2,3.0,3.2,2.8,0.5,0.0,14.5,75
49,,50,Marcus Smart,BOS,17,38.1,4.6,11.6,0.39399999999999996,2.4,7.2,0.33299999999999996,2.9,3.3,0.875,2.6,3.2,0.6,4.6,5.2,4.6,1.2,0.5,14.5,80
50,,51,Jusuf Nurkic,POR,5,32.2,5.0,11.4,0.439,0.6,2.2,0.273,3.6,4.6,0.7829999999999999,2.6,4.2,2.8,7.8,10.6,3.6,1.4,0.2,14.2,84
51,,52,Tyler Johnson,BRK,4,23.2,5.2,11.5,0.457,2.8,7.0,0.39299999999999996,0.5,0.5,1.0,0.8,2.8,0.0,1.8,1.8,2.2,0.0,0.2,13.8,72
52,,53,Norman Powell,TOR,11,24.8,4.6,9.5,0.49,2.0,4.7,0.423,2.1,2.6,0.7929999999999999,1.0,2.6,0.4,2.0,2.4,1.0,0.5,0.3,13.4,77
54,,55,Seth Curry,DAL,6,28.8,5.2,8.8,0.585,1.7,3.5,0.47600000000000003,0.8,0.8,1.0,1.3,2.3,0.3,1.5,1.8,1.3,1.0,0.0,12.8,78
55,,56,Evan Fournier,ORL,5,34.1,4.0,11.4,0.35100000000000003,2.4,7.0,0.34299999999999997,2.4,3.4,0.706,1.8,2.0,0.6,3.4,4.0,2.6,1.2,0.6,12.8,80
57,,58,Luguentz Dort,OKC,6,29.2,4.5,12.7,0.355,2.2,8.3,0.26,1.3,2.5,0.5329999999999999,2.5,4.2,0.8,2.8,3.7,1.0,0.3,1.0,12.5,74
58,,59,Trey Burke,DAL,6,26.1,5.0,9.8,0.508,1.3,2.8,0.47100000000000003,1.0,1.7,0.6,1.0,2.3,0.3,2.8,3.2,2.0,1.3,0.3,12.3,76
59,,60,Jae Crowder,MIA,21,31.4,3.9,9.6,0.40299999999999997,2.6,7.7,0.342,1.7,2.2,0.7609999999999999,0.7,2.6,0.5,5.0,5.6,1.9,0.7,0.6,12.0,77
60,,61,Markelle Fultz,ORL,5,29.3,4.8,12.0,0.4,1.2,3.2,0.375,1.2,1.4,0.857,2.6,4.0,0.0,2.2,2.2,5.2,1.0,0.6,12.0,77
61,,62,Garrett Temple,BRK,4,34.3,4.2,12.2,0.34700000000000003,2.2,9.0,0.25,1.2,1.5,0.833,1.5,3.0,0.0,2.8,2.8,2.0,0.8,0.2,12.0,74
62,,63,Marcus Morris,LAC,13,29.9,4.3,8.5,0.505,2.2,4.5,0.475,1.0,1.1,0.929,0.7,3.0,0.8,4.0,4.8,1.6,0.8,0.1,11.8,78
63,,64,Duncan Robinson,MIA,21,28.6,3.6,8.4,0.426,3.0,7.4,0.397,1.6,1.8,0.868,0.8,3.1,0.2,2.5,2.8,1.8,0.7,0.3,11.7,78
64,,65,Eric Bledsoe,MIL,9,29.7,4.2,10.9,0.38799999999999996,0.9,3.6,0.25,2.3,2.9,0.8079999999999999,2.6,2.2,0.6,4.0,4.6,5.9,1.2,0.7,11.7,83
65,,66,Jerami Grant,DEN,19,34.4,3.7,9.2,0.406,1.6,5.0,0.326,2.5,2.8,0.889,1.3,3.1,0.4,2.9,3.3,1.3,0.6,0.8,11.6,77
66,,67,Jeff Green,HOU,12,28.4,4.2,8.6,0.495,1.9,4.5,0.426,1.2,1.4,0.8240000000000001,1.2,2.2,0.4,4.6,5.0,1.6,0.5,0.5,11.6,76
67,,68,Danuel House,HOU,9,31.0,4.1,9.4,0.435,2.1,5.9,0.358,1.1,1.4,0.769,0.8,2.4,1.1,4.7,5.8,1.4,0.9,0.0,11.4,76
69,,70,Robert Covington,HOU,12,31.6,3.9,7.9,0.495,2.8,5.7,0.5,0.5,0.6,0.857,1.0,3.8,0.7,4.3,5.0,1.4,2.5,1.1,11.2,79
70,,71,Gordon Hayward,BOS,5,31.4,4.0,10.0,0.4,1.4,4.8,0.292,1.4,1.6,0.875,1.4,2.0,0.6,3.4,4.0,2.8,1.4,0.4,10.8,83
71,,72,Kentavious Caldwell-Pope,LAL,21,29.0,3.8,9.0,0.418,2.1,5.7,0.37799999999999995,1.0,1.3,0.815,0.7,1.9,0.4,1.7,2.1,1.3,1.0,0.2,10.7,75
72,,73,Alec Burks,PHI,4,23.7,4.0,12.2,0.327,0.8,4.0,0.188,1.8,2.2,0.778,0.8,1.8,1.8,2.0,3.8,1.8,0.2,0.8,10.5,77
73,,74,Montrezl Harrell,LAC,13,18.7,3.6,6.3,0.573,0.1,0.4,0.2,3.2,5.2,0.603,0.9,2.2,0.8,2.1,2.9,0.4,0.4,0.5,10.5,82
75,,76,Jarrett Allen,BRK,4,33.0,3.5,6.0,0.583,0.0,0.0,0.0,3.2,4.0,0.812,2.8,1.8,4.2,10.5,14.8,2.2,0.5,1.8,10.2,81
76,,77,Dorian Finney-Smith,DAL,6,31.8,3.8,8.7,0.442,1.8,5.0,0.36700000000000005,0.7,0.8,0.8,1.5,3.7,2.0,3.7,5.7,3.2,1.2,0.5,10.2,76
77,,78,Steven Adams,OKC,7,30.0,4.4,7.4,0.596,0.0,0.1,0.0,1.3,2.9,0.45,2.3,1.4,4.9,6.7,11.6,1.3,0.6,0.3,10.1,82
78,,79,Kyle Kuzma,LAL,21,23.1,3.7,8.5,0.43,1.2,4.0,0.313,1.4,1.8,0.784,1.0,2.4,0.9,2.2,3.1,0.8,0.3,0.3,10.0,76
80,,81,George Hill,MIL,10,26.8,3.2,6.7,0.478,1.0,2.8,0.35700000000000004,2.1,2.6,0.8079999999999999,1.6,1.7,0.5,1.9,2.4,3.1,0.6,0.0,9.5,77
81,,82,Joe Ingles,UTA,7,33.5,3.1,7.7,0.40700000000000003,2.0,5.7,0.35,0.9,0.9,1.0,0.6,2.1,0.1,3.3,3.4,4.7,0.6,0.1,9.1,78
82,,83,Ivica Zubac,LAC,13,24.6,3.4,6.0,0.564,0.0,0.0,0.0,2.3,2.8,0.8109999999999999,0.9,2.6,2.4,4.8,7.2,0.6,0.2,0.8,9.1,78
83,,84,Monte Morris,DEN,19,21.4,3.5,7.0,0.496,0.6,2.1,0.3,1.5,1.8,0.8240000000000001,0.5,1.1,0.2,1.3,1.5,2.7,0.6,0.1,9.1,77
84,,85,Daniel Theis,BOS,17,28.4,3.6,6.9,0.521,0.2,1.5,0.154,1.5,1.9,0.7879999999999999,0.9,3.9,1.9,5.2,7.1,1.5,0.4,1.2,8.9,79
85,,86,Rajon Rondo,LAL,16,24.7,3.4,7.6,0.455,1.2,3.1,0.4,0.8,1.2,0.684,2.1,2.2,0.8,3.5,4.3,6.6,1.4,0.1,8.9,76
86,,87,Georges Niang,UTA,7,16.3,3.1,6.3,0.5,1.7,4.1,0.414,0.3,0.3,1.0,0.3,1.3,0.6,1.6,2.1,0.6,0.0,0.1,8.3,73
87,,88,Paul Millsap,DEN,19,24.2,2.5,6.2,0.39799999999999996,0.8,2.3,0.341,2.3,2.8,0.7959999999999999,1.3,2.6,1.4,3.3,4.7,1.2,0.6,0.5,8.0,79
88,,89,Danny Green,LAL,21,25.0,2.8,8.1,0.34700000000000003,1.9,5.5,0.33899999999999997,0.5,0.7,0.667,0.6,2.3,1.2,2.0,3.1,1.2,1.0,0.8,8.0,76
90,,91,Aaron Holiday,IND,4,18.0,3.0,5.2,0.5710000000000001,1.0,2.2,0.444,0.8,1.2,0.6,1.0,2.5,0.2,1.0,1.2,2.5,1.0,0.0,7.8,76
91,,92,Kelly Olynyk,MIA,17,15.2,2.6,5.6,0.474,1.0,2.9,0.34700000000000003,1.4,1.6,0.821,0.8,2.1,0.8,3.9,4.6,1.1,0.2,0.5,7.6,76
92,,93,Gary Harris,DEN,14,27.1,2.4,6.4,0.37799999999999995,1.4,3.7,0.365,1.2,1.6,0.773,1.5,3.2,0.5,1.5,2.0,1.7,1.1,0.3,7.4,76
93,,94,Gary Clark,ORL,5,28.7,2.2,6.6,0.33299999999999996,2.2,6.4,0.344,0.8,1.0,0.8,0.4,1.4,0.8,4.8,5.6,1.4,1.0,0.4,7.4,72
94,,95,Justin Holiday,IND,4,32.8,2.5,5.2,0.47600000000000003,2.0,4.0,0.5,0.2,0.8,0.33299999999999996,0.8,2.0,1.0,2.8,3.8,0.8,1.5,1.2,7.2,75
95,,96,Wesley Matthews,MIL,10,24.6,2.4,5.7,0.42100000000000004,1.7,4.3,0.395,0.7,1.0,0.7,0.7,2.0,0.6,1.2,1.8,0.9,0.9,0.4,7.2,75
96,,97,Terence Davis,TOR,6,14.0,2.3,4.8,0.483,1.3,3.2,0.42100000000000004,1.2,1.2,1.0,1.0,1.8,0.3,1.8,2.2,1.2,0.2,0.0,7.2,76
97,,98,Al Horford,PHI,4,32.1,3.0,6.2,0.48,0.0,1.0,0.0,1.0,1.8,0.5710000000000001,0.8,3.5,2.2,5.0,7.2,2.2,0.2,1.2,7.0,80
98,,99,James Ennis,ORL,5,23.8,2.4,7.0,0.34299999999999997,0.8,3.2,0.25,1.4,1.8,0.778,1.2,3.8,1.2,4.6,5.8,1.2,1.0,0.4,7.0,75
99,,100,Boban Marjanovic,DAL,6,13.7,2.8,5.0,0.5670000000000001,0.0,0.2,0.0,1.2,1.5,0.778,0.5,1.5,1.0,4.8,5.8,0.8,0.0,0.3,6.8,75
100,,101,Hassan Whiteside,POR,5,21.2,2.6,4.8,0.542,0.2,0.2,1.0,1.4,2.8,0.5,1.2,3.4,1.4,5.6,7.0,0.4,0.2,2.0,6.8,83
101,,102,Anfernee Simons,POR,4,20.5,2.0,6.5,0.308,1.5,3.5,0.429,1.2,1.5,0.833,1.0,1.8,0.2,2.5,2.8,2.5,1.5,0.0,6.8,72
102,,103,Maxi Kleber,DAL,6,33.9,2.2,6.5,0.33299999999999996,0.8,4.3,0.192,1.5,2.0,0.75,0.7,3.3,1.7,4.8,6.5,1.5,0.3,1.2,6.7,76
103,,104,Donte DiVincenzo,MIL,10,16.5,2.3,5.1,0.451,0.7,2.1,0.33299999999999996,1.3,2.0,0.65,1.0,2.1,0.8,2.4,3.2,1.2,0.7,0.3,6.6,77
104,,105,Darius Bazley,OKC,7,18.0,1.9,4.4,0.419,1.6,3.1,0.5,1.3,1.4,0.9,0.9,0.3,0.3,6.4,6.7,0.9,0.0,0.4,6.6,73
105,,106,Alex Caruso,LAL,21,24.3,2.3,5.4,0.425,0.8,2.9,0.27899999999999997,1.1,1.4,0.8,1.5,2.6,0.7,1.6,2.3,2.8,1.1,0.6,6.5,74
106,,107,Patrick Beverley,LAC,8,20.8,2.5,4.9,0.513,1.0,2.8,0.364,0.2,0.5,0.5,0.9,3.9,1.1,3.0,4.1,2.4,1.0,0.4,6.2,78
107,,108,Kyle Korver,MIL,10,11.9,2.0,4.7,0.426,1.5,3.7,0.405,0.7,0.7,1.0,0.5,0.9,0.1,0.7,0.8,0.1,0.3,0.1,6.2,73
108,,109,Kendrick Nunn,MIA,15,15.9,2.4,6.1,0.391,0.8,2.9,0.27899999999999997,0.5,0.5,1.0,0.8,1.4,0.2,1.9,2.1,1.3,0.2,0.2,6.1,76
109,,110,JaMychal Green,LAC,13,17.1,2.4,4.2,0.564,0.8,1.8,0.435,0.5,0.7,0.778,0.4,2.2,1.0,2.8,3.8,0.5,0.2,0.2,6.1,72
110,,111,Marc Gasol,TOR,11,20.7,2.3,5.8,0.391,0.5,2.5,0.185,1.0,1.4,0.733,1.5,2.9,0.4,4.0,4.4,2.6,0.5,0.6,6.0,77
111,,112,Markieff Morris,LAL,21,18.4,2.1,4.7,0.449,1.4,3.3,0.42,0.3,0.4,0.778,0.8,2.6,0.6,2.5,3.0,1.0,0.3,0.1,5.9,75
112,,113,Dwight Howard,LAL,18,15.7,2.2,3.2,0.684,0.1,0.1,0.5,1.4,2.5,0.556,0.9,3.1,1.8,2.8,4.6,0.5,0.4,0.4,5.8,78
113,,114,Chris Chiozza,BRK,4,16.1,2.0,6.0,0.33299999999999996,1.2,4.0,0.312,0.5,1.0,0.5,0.8,1.8,0.2,1.2,1.5,4.2,1.2,0.0,5.8,72
114,,115,Royce O'Neale,UTA,7,35.5,1.9,4.6,0.406,1.4,3.1,0.455,0.4,0.9,0.5,1.9,3.6,0.4,5.0,5.4,2.7,1.3,0.3,5.6,74
115,,116,Marvin Williams,MIL,10,17.9,2.1,4.7,0.447,1.0,2.3,0.435,0.3,0.3,1.0,0.3,1.4,1.3,3.5,4.8,0.9,0.5,0.3,5.5,74
116,,117,Landry Shamet,LAC,13,18.7,1.8,4.5,0.40700000000000003,1.2,3.2,0.35700000000000004,0.4,0.5,0.7140000000000001,1.0,1.4,0.0,1.7,1.7,1.3,0.5,0.2,5.2,74
117,,118,Brad Wanamaker,BOS,17,16.0,1.7,3.5,0.483,0.7,1.6,0.444,0.8,0.9,0.875,1.1,1.9,0.1,1.9,2.0,1.8,0.7,0.2,4.9,73
118,,119,Reggie Jackson,LAC,12,14.2,1.8,4.0,0.43799999999999994,1.4,2.7,0.531,0.0,0.0,0.0,0.4,1.5,0.2,1.6,1.8,0.9,0.2,0.1,4.9,76
119,,120,Khem Birch,ORL,5,17.9,1.4,2.8,0.5,0.0,0.0,0.0,2.0,2.2,0.909,1.0,2.2,1.8,3.2,5.0,1.4,0.2,0.0,4.8,72
120,,121,Austin Rivers,HOU,12,17.6,1.6,5.1,0.311,0.8,2.9,0.257,0.8,1.1,0.769,0.7,1.8,0.2,2.3,2.5,1.3,0.6,0.1,4.8,75
121,,122,Mario Hezonja,POR,5,13.6,1.8,4.4,0.409,0.4,1.4,0.28600000000000003,0.6,0.8,0.75,0.6,1.6,0.4,2.6,3.0,1.2,0.6,0.0,4.6,73
122,,123,Enes Kanter,BOS,11,9.3,2.0,3.8,0.524,0.1,0.1,1.0,0.5,0.9,0.5,0.4,1.7,1.7,2.2,3.9,0.6,0.0,0.0,4.5,76
123,,124,Torrey Craig,DEN,19,19.8,1.7,4.1,0.423,0.6,2.2,0.262,0.5,0.7,0.6920000000000001,0.5,2.3,0.7,2.6,3.3,0.7,0.4,0.4,4.5,74
124,,125,Wesley Iwundu,ORL,5,15.2,1.2,4.0,0.3,0.8,1.4,0.5710000000000001,1.0,1.6,0.625,0.6,1.0,0.2,2.0,2.2,0.8,0.6,0.4,4.2,72
125,,126,Pat Connaughton,MIL,10,17.1,1.5,3.5,0.429,0.8,2.3,0.348,0.2,0.2,1.0,0.5,1.2,0.5,3.4,3.9,1.1,0.2,0.2,4.0,73
126,,127,Ben McLemore,HOU,11,11.8,1.4,3.6,0.375,1.3,3.3,0.389,0.0,0.0,0.0,0.3,0.7,0.2,0.8,1.0,0.5,0.4,0.0,4.0,74
127,,128,Andre Iguodala,MIA,21,19.5,1.4,3.1,0.462,0.7,1.9,0.359,0.2,0.3,0.7140000000000001,0.7,2.1,0.5,2.0,2.6,1.5,0.8,0.6,3.8,76
128,,129,Robert Williams,BOS,13,11.5,1.8,2.4,0.742,0.0,0.1,0.0,0.2,0.5,0.33299999999999996,0.5,1.4,1.7,2.2,3.9,0.8,0.2,0.5,3.7,74
130,,131,Matt Thomas,TOR,10,8.4,1.3,2.1,0.619,0.5,1.2,0.41700000000000004,0.0,0.0,0.0,0.1,0.6,0.1,1.3,1.4,0.7,0.1,0.1,3.1,74
131,,132,Nerlens Noel,OKC,7,13.9,1.1,2.4,0.47100000000000003,0.0,0.1,0.0,0.7,1.4,0.5,0.3,2.1,0.7,3.4,4.1,0.4,0.3,0.7,3.0,76
132,,133,JaVale McGee,LAL,14,9.7,1.4,2.3,0.625,0.0,0.1,0.0,0.1,0.1,0.5,0.6,1.6,1.1,2.0,3.1,0.5,0.1,0.7,2.9,78
133,,134,Grant Williams,BOS,17,10.0,0.9,1.5,0.5770000000000001,0.6,1.0,0.588,0.4,0.6,0.7,0.2,1.9,0.4,1.1,1.5,0.4,0.1,0.3,2.8,71
134,,135,Mason Plumlee,DEN,19,10.9,1.0,2.1,0.48700000000000004,0.0,0.1,0.0,0.4,0.6,0.667,0.6,2.1,1.6,1.6,3.2,1.3,0.2,0.4,2.4,77
136,,137,Matisse Thybulle,PHI,4,18.8,0.8,1.8,0.429,0.2,1.0,0.25,0.0,0.0,0.0,0.5,1.5,0.2,1.5,1.8,0.5,0.8,0.2,1.8,75
137,,138,Semi Ojeleye,BOS,13,9.4,0.5,2.2,0.25,0.4,1.8,0.217,0.2,0.2,1.0,0.1,0.7,0.2,0.8,0.9,0.1,0.2,0.0,1.6,71
138,,139,Derrick Jones,MIA,15,6.4,0.5,1.1,0.47100000000000003,0.3,0.6,0.444,0.1,0.3,0.4,0.1,0.8,0.4,0.4,0.8,0.5,0.4,0.3,1.5,75
139,,140,Juwan Morgan,UTA,7,12.4,0.4,1.7,0.25,0.3,1.4,0.2,0.3,0.9,0.33299999999999996,0.1,1.6,0.9,2.1,3.0,0.7,0.3,0.0,1.4,70
