name,rating
Larry Nance Jr,77
Tony Parker,77
Elfrid Payton,77
Mason Plumlee,77
Jayson Tatum,77
Milos Teodosic,77
Marvin Williams,77
Thaddeus Young,77
Cody Zeller,77
Jose Juan Barea,76
Trevor Booker,76
Jaylen Brown,76
Willie Cauley-Stein,76
Tyson Chandler,76
Marquese Chriss,76
Gorgui Dieng,76
Taj Gibson,76
Manu Ginobili,76
Treveon Graham,76
Danny Green,76
Richaun Holmes,76
Brandon Ingram,76
Jonathan Isaac,76
Joe Johnson,76
Frank Kaminsky,76
Skal Labissiere,76
Robin Lopez,76
Luc Mbah a Moute,76
JaVale McGee,76
CJ Miles,76
Nikola Mirotic,76
Zaza Pachulia,76
Bobby Portis,76
Andre Roberson,76
Rajon Rondo,76
Dennis Smith,76
PJ Tucker,76
Justise Winslow,76
Michael Beasley,75
DeMarre Carroll,75
Allen Crabbe,75
JaMychal Green,75
Rondae Hollis-Jefferson,75
Ersan Ilyasova,75
Al Jefferson,75
Amir Johnson,75
Cory Joseph,75
Jeremy Lamb,75
Ty Lawson,75
Courtney Lee,75
Jon Leuer,75
Caris LeVert,75
Shaun Livingston,75
Thon Maker,75
Lauri Markkanen,75
TJ McConnell,75
Donovan Mitchell,75
Malik Monk,75
Shabazz Muhammad,75
Kelly Olynyk,75
Patrick Patterson,75
Norman Powell,75
Taurean Prince,75
Terrence Ross,75
Thabo Sefolosha,75
Jonathon Simmons,75
JR Smith,75
Tony Snell,75
Lance Stephenson,75
Tyler Ulis,75
Alan Williams,75
Ivica Zubac,75
Alex Abrines,74
Kent Bazemore,74
Marco Belinelli,74
Bogdan Bogdanovic,74
Alec Burks,74
Vince Carter,74
Ian Clark,74
Malcolm Delaney,74
Matthew Dellavedova,74
Jared Dudley,74
Wayne Ellington,74
Festus Ezeli,74
Raymond Felton,74
Yogi Ferrell,74
Jerian Grant,74
Moe Harkless,74
Montrezl Harrell,74
John Henson,74
Juan Hernangomez,74
Justin Holiday,74
Richard Jefferson,74
Jonas Jerebko,74
Sean Kilpatrick,74
Brandon Knight,74
Kyle Korver,74
Trey Lyles,74
Ian Mahinmi,74
Boban Marjanovic,74
Rodney McGruder,74
Salah Mejri,74
E'Twaun Moore,74
Timofey Mozgov,74
Mike Muscala,74
Jameer Nelson,74
Joakim Noah,74
Frank Ntilikina,74
Kelly Oubre,74
Chandler Parsons,74
Willie Reed,74
Josh Richardson,74
Glenn Robinson III,74
Terry Rozier,74
Ishmael Smith,74
Marreese Speights,74
Garrett Temple,74
Evan Turner,74
Ekpe Udoh,74
David West,74
Deron Williams,74
Nick Young,74
Arron Afflalo,73
Al-Farouq Aminu,73
Justin Anderson,73
Kyle Anderson,73
Darrell Arthur,73
DJ Augustin,73
Leandro Barbosa,73
Jerryd Bayless,73
Aron Baynes,73
Bismack Biyombo,73
Tarik Black,73
Andrew Bogut,73
Aaron Brooks,73
Zach Collins,73
John Collins,73
Sam Dekker,73
Luol Deng,73
Spencer Dinwiddie,73
Dante Exum,73
Cristiano Felicio,73
Tim Frazier,73
Channing Frye,73
Langston Galloway,73
Jerami Grant,73
Jeff Green,73
Devin Harris,73
Mario Hezonja,73
Kris Humphries,73
Jarrett Jack,73
Stanley Johnson,73
Tyus Jones,73
Kosta Koufos,73
Mindaugas Kuzminskas,73
Joffrey Lauvergne,73
Alex Len,73
Shelvin Mack,73
Patrick McCaw,73
Doug McDermott,73
Ben McLemore,73
Emmanuel Mudiay,73
Dejounte Murray,73
Lucas Nogueira,73
David Nwaba,73
Jahlil Okafor,73
Emeka Okafor,73
Quincy Pondexter,73
Dwight Powell,73
Domantas Sabonis,73
Ramon Sessions,73
Iman Shumpert,73
Jason Smith,73
Nik Stauskas,73
Mirza Teletovic,73
Denzel Valentine,73
Isaiah Whitehead,73
Jeff Withey,73
Brandan Wright,73
Tyler Zeller,73
Quincy Acy,72
Bam Adebayo,72
Alexis Ajinca,72
Cole Aldrich,72
Lavoy Allen,72
Jarrett Allen,72
Malik Beasley,72
Dragan Bender,72
Davis Bertans,72
Nemanja Bjelica,72
Omri Casspi,72
Dante Cunningham,72
Troy Daniels,72
Deyonta Davis,72
Ed Davis,72
Kris Dunn,72
James Ennis,72
Tyler Ennis,72
Dorian Finney-Smith,72
Archie Goodwin,72
Gerald Green,72
Justin Hamilton,72
Joe Harris,72
Andrew Harrison,72
Solomon Hill,72
Justin Jackson,72
Brandon Jennings,72
Kyle Kuzma,72
Timothe Luwawu,72
Jarell Martin,72
Jodie Meeks,72
Raul Neto,72
Georgios Papagiannis,72
Jakob Poeltl,72
Mike Scott,72
Pascal Siakam,72
Anthony Tolliver,72
Beno Udrih,72
Noah Vonleh,72
CJ Watson,72
Derrick Williams,72
Delon Wright,72
Joseph Young,72
OG Anunoby,71
Omer Asik,71
Trey Burke,71
Jose Calderon,71
Michael Carter-Williams,71
Henry Ellenson,71
Terrance Ferguson,71
Bryn Forbes,71
Wesley Johnson,71
Luke Kennard,71
Shane Larkin,71
Jordan Mickey,71
Shabazz Napier,71
Cedi Osman,71
Adreian Payne,71
Cameron Payne,71
Daniel Theis,71
Lance Thomas,71
Paul Zipser,71
Ante Zizic,71
Luke Babbitt,70
Corey Brewer,70
Anthony Brown,70
Isaiah Canaan,70
Semaj Christon,70
Nick Collison,70
Pat Connaughton,70
Torrey Craig,70
Cheick Diallo,70
Michael Gbinije,70
Harry Giles,70
Josh Hart,70
Udonis Haslem,70
Frank Jackson,70
Brice Johnson,70
Damian Jones,70
Furkan Korkmaz,70
Meyers Leonard,70
Kevon Looney,70
Justin Patton,70
Miles Plumlee,70
Malachi Richardson,70
Brandon Rush,70
Tomas Satoransky,70
Wayne Selden,70
Diamond Stone,70
Caleb Swanigan,70
Rashad Vaughn,70
Derrick White,70
Guerschon Yabusele,70
James Young,70
Dwayne Bacon,69
Wade Baldwin,69
Jordan Bell,69
DeAndre Bembry,69
Joel Bolomboy,69
Tony Bradley,69
Quinn Cook,69
Kay Felder,69
Darrun Hilliard,69
Danuel House,69
Josh Huestis,69
Jake Layman,69
James Michael McAdoo,69
Chris McCullough,69
KJ McDaniels,69
Josh McRoberts,69
Royce O'Neale,69
Chinanu Onuaku,69
Gary Payton II,69
Ronnie Price,69
Zhou Qi,69
Chasson Randle,69
Davon Reed,69
JaKarr Sampson,69
Walter Tavares,69
Jason Terry,69
Fred VanVleet,69
Okaro White,69
Rade Zagorac,69
Ron Baker,68
Dillon Brooks,68
Sterling Brown,68
Nicolas Brussino,68
Thomas Bryant,68
Reggie Bullock,68
Tyler Dorsey,68
AJ Hammons,68
Demetrius Jackson,68
Maxi Kleber,68
Abdel Nader,68
Andrew Nicholson,68
Kyle O'Quinn,68
Marshall Plumlee,68
Isaiah Taylor,68
Sindarius Thornwell,68
MarShon Brooks,67
Bruno Caboclo,67
Jarell Eddie,67
Marcus Georges-Hunt,67
Tim Quarterman,67
Kyle Singler,67
CJ Wilcox,67
Stephen Zimmerman,67
Jack Cooley,66
John Holland,66
Georges Niang,66
Daniel Ochefu,66
Travis Wear,66
Dwight Buycks,65
Tyler Cavanaugh,65
RJ Hunter,65
Luis Montero,65
Eric Moreland,65
